type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct
impedance,2008-04-20 17:03:01,24,B0005,74,75,00075.csv,,0.04482791300205649,0.07288826952758304
charge,2008-04-20 17:17:44,24,B0005,75,76,00076.csv,,,
impedance,2008-04-20 20:35:56,24,B0005,76,77,00077.csv,,0.04441416485910045,0.06885805241213436
discharge,2008-04-20 20:50:38,24,B0005,77,78,00078.csv,1.802765665167823,,
impedance,2008-04-20 22:16:35,24,B0005,78,79,00079.csv,,0.04466450679894579,0.0727868237536811
charge,2008-04-20 22:31:18,24,B0005,79,80,00080.csv,,,
impedance,2008-04-21 02:00:19,24,B0005,80,81,00081.csv,,0.04453544590029642,0.06779434699116274
discharge,2008-04-21 02:15:02,24,B0005,81,82,00082.csv,1.804077040117352,,
impedance,2008-04-21 03:26:58,24,B0005,82,83,00083.csv,,0.04502135245555801,0.06940408185539676
charge,2008-04-21 17:51:26,24,B0005,83,84,00084.csv,,,
charge,2008-04-22 14:15:41,24,B0005,84,85,00085.csv,,,
discharge,2008-04-22 15:33:49,24,B0005,85,86,00086.csv,1.8518025516704486,,
impedance,2008-04-22 16:33:03,24,B0005,86,87,00087.csv,,0.04610646564263781,0.07041083307756363
charge,2008-04-22 17:04:53,24,B0005,87,88,00088.csv,,,
impedance,2008-04-22 19:54:32,24,B0005,88,89,00089.csv,,0.04646251600050638,0.06993774302336724
discharge,2008-04-22 20:26:18,24,B0005,89,90,00090.csv,1.8307038456739428,,
impedance,2008-04-22 21:24:34,24,B0005,90,91,00091.csv,,0.04766732499763113,0.06870142026856427
charge,2008-04-22 21:56:21,24,B0005,91,92,00092.csv,,,
impedance,2008-04-23 00:46:24,24,B0005,92,93,00093.csv,,0.04772385451119983,0.06950417544214327
discharge,2008-04-23 01:18:11,24,B0005,93,94,00094.csv,1.8199041089501267,,
impedance,2008-04-23 02:16:08,24,B0005,94,95,00095.csv,,0.04786769518725868,0.06782851501053842
charge,2008-04-23 02:47:55,24,B0005,95,96,00096.csv,,,
impedance,2008-04-23 05:46:32,24,B0005,96,97,00097.csv,,0.04694022963323793,0.069661211991841
discharge,2008-04-23 06:18:19,24,B0005,97,98,00098.csv,1.8093079637028517,,
impedance,2008-04-23 07:16:07,24,B0005,98,99,00099.csv,,0.045613419083722975,0.0690386303340568
charge,2008-04-23 07:47:54,24,B0005,99,100,00100.csv,,,
impedance,2008-04-23 10:36:13,24,B0005,100,101,00101.csv,,0.04702798243208013,0.07112946749607083
discharge,2008-04-23 11:08:00,24,B0005,101,102,00102.csv,1.80460990458052,,
impedance,2008-04-23 12:05:30,24,B0005,102,103,00103.csv,,0.04672887233883059,0.06971129972921941
charge,2008-04-23 12:37:17,24,B0005,103,104,00104.csv,,,
impedance,2008-04-23 15:34:37,24,B0005,104,105,00105.csv,,0.047755380262671634,0.07167079612312527
discharge,2008-04-23 16:06:25,24,B0005,105,106,00106.csv,1.7993770651972192,,
impedance,2008-04-23 17:03:55,24,B0005,106,107,00107.csv,,0.04691622519628201,0.06913343554751465
charge,2008-04-23 17:35:42,24,B0005,107,108,00108.csv,,,
impedance,2008-04-23 20:31:10,24,B0005,108,109,00109.csv,,0.047022939446838434,0.06976696183555635
discharge,2008-04-23 21:02:58,24,B0005,109,110,00110.csv,1.7884432335370462,,
impedance,2008-04-23 22:00:19,24,B0005,110,111,00111.csv,,0.046604793185003,0.06852215228822905
charge,2008-04-23 22:32:06,24,B0005,111,112,00112.csv,,,
impedance,2008-04-24 01:19:46,24,B0005,112,113,00113.csv,,0.046245370477528074,0.0719248993978976
discharge,2008-04-24 01:51:33,24,B0005,113,114,00114.csv,1.7829230484252723,,
impedance,2008-04-24 02:48:35,24,B0005,114,115,00115.csv,,0.04683293993011124,0.06946896899621643
charge,2008-04-24 03:20:23,24,B0005,115,116,00116.csv,,,
impedance,2008-04-24 06:18:12,24,B0005,116,117,00117.csv,,0.04618610336751238,0.07193787056034481
discharge,2008-04-24 06:50:00,24,B0005,117,118,00118.csv,1.7730337158018288,,
impedance,2008-04-24 07:46:53,24,B0005,118,119,00119.csv,,0.04624136663986422,0.06934916902797013
charge,2008-04-24 08:18:41,24,B0005,119,120,00120.csv,,,
impedance,2008-04-24 11:17:36,24,B0005,120,121,00121.csv,,0.04773737014313117,0.0703395836124857
discharge,2008-04-24 11:49:24,24,B0005,121,122,00122.csv,1.773037755078937,,
impedance,2008-04-24 12:46:08,24,B0005,122,123,00123.csv,,0.049427483436388156,0.0695498357572787
charge,2008-04-24 13:17:56,24,B0005,123,124,00124.csv,,,
impedance,2008-04-24 16:14:07,24,B0005,124,125,00125.csv,,0.04838334154876506,0.06973812701544792
discharge,2008-04-24 16:45:56,24,B0005,125,126,00126.csv,1.7678721106662054,,
impedance,2008-04-24 17:42:40,24,B0005,126,127,00127.csv,,0.04747841688797767,0.06488297170955903
charge,2008-04-24 18:14:28,24,B0005,127,128,00128.csv,,,
impedance,2008-04-24 21:06:22,24,B0005,128,129,00129.csv,,0.048037510039299486,0.07012511424776673
discharge,2008-04-24 21:38:11,24,B0005,129,130,00130.csv,1.7623150704093087,,
impedance,2008-04-24 22:34:45,24,B0005,130,131,00131.csv,,0.047703621105183044,0.06859813037774799
charge,2008-04-24 23:06:34,24,B0005,131,132,00132.csv,,,
impedance,2008-04-25 01:57:07,24,B0005,132,133,00133.csv,,0.048086960073381944,0.0697134641311117
discharge,2008-04-25 12:03:44,24,B0005,133,134,00134.csv,1.7676172924938447,,
charge,2008-04-25 17:02:35,24,B0005,134,135,00135.csv,,,
discharge,2008-04-25 20:03:55,24,B0005,135,136,00136.csv,1.762668359743147,,
impedance,2008-04-25 21:00:31,24,B0005,136,137,00137.csv,,0.04815104655957722,0.06772207819825936
charge,2008-04-25 21:32:20,24,B0005,137,138,00138.csv,,,
impedance,2008-04-26 00:32:46,24,B0005,138,139,00139.csv,,0.04754728174038817,0.07318009891168203
discharge,2008-04-26 01:04:35,24,B0005,139,140,00140.csv,1.7517304870664143,,
impedance,2008-04-26 02:00:52,24,B0005,140,141,00141.csv,,0.04759013382319219,0.06914272874669278
charge,2008-04-26 02:32:41,24,B0005,141,142,00142.csv,,,
impedance,2008-04-26 05:25:46,24,B0005,142,143,00143.csv,,0.04764092098948851,0.07165247326552959
discharge,2008-04-26 05:57:35,24,B0005,143,144,00144.csv,1.7418496047960008,,
impedance,2008-04-26 06:53:34,24,B0005,144,145,00145.csv,,0.04764024061757782,0.06898277923910441
charge,2008-04-26 07:25:23,24,B0005,145,146,00146.csv,,,
impedance,2008-04-26 10:26:36,24,B0005,146,147,00147.csv,,0.04842436953177311,0.07249983749010006
discharge,2008-04-26 10:58:25,24,B0005,147,148,00148.csv,1.7360913511847138,,
charge,2008-04-28 17:20:47,24,B0005,148,149,00149.csv,,,
discharge,2008-04-29 12:15:56,24,B0005,149,150,00150.csv,1.7936240148573608,,
impedance,2008-04-29 13:12:54,24,B0005,150,151,00151.csv,,0.04893386185534073,0.06795990180113623
charge,2008-04-29 13:44:46,24,B0005,151,152,00152.csv,,,
impedance,2008-04-29 16:33:38,24,B0005,152,153,00153.csv,,0.04943074564871873,0.0701407541984291
discharge,2008-04-29 17:05:27,24,B0005,153,154,00154.csv,1.7831890223273275,,
impedance,2008-04-29 18:02:21,24,B0005,154,155,00155.csv,,0.049323007176718225,0.06895642914528509
charge,2008-04-29 18:34:10,24,B0005,155,156,00156.csv,,,
impedance,2008-04-29 21:28:15,24,B0005,156,157,00157.csv,,0.04974822543014387,0.07112993844977841
discharge,2008-04-29 22:00:04,24,B0005,157,158,00158.csv,1.7673642076278957,,
impedance,2008-04-29 22:56:30,24,B0005,158,159,00159.csv,,0.04912202877042455,0.06890956847456893
charge,2008-04-29 23:28:20,24,B0005,159,160,00160.csv,,,
impedance,2008-04-30 02:12:05,24,B0005,160,161,00161.csv,,0.04988486594475391,0.07198302765125617
discharge,2008-04-30 02:43:55,24,B0005,161,162,00162.csv,1.7570177850353066,,
impedance,2008-04-30 03:40:03,24,B0005,162,163,00163.csv,,0.047859449246718755,0.06977255608528674
charge,2008-04-30 04:11:53,24,B0005,163,164,00164.csv,,,
impedance,2008-04-30 07:09:52,24,B0005,164,165,00165.csv,,0.04921638093217895,0.07146374397937286
discharge,2008-04-30 07:41:42,24,B0005,165,166,00166.csv,1.7468706179837907,,
impedance,2008-04-30 08:37:42,24,B0005,166,167,00167.csv,,0.04887229013423192,0.06876809153866811
charge,2008-04-30 09:09:32,24,B0005,167,168,00168.csv,,,
impedance,2008-04-30 11:56:59,24,B0005,168,169,00169.csv,,0.04994593893656341,0.07088704261645878
discharge,2008-04-30 12:28:49,24,B0005,169,170,00170.csv,1.7417172507457144,,
impedance,2008-04-30 13:24:39,24,B0005,170,171,00171.csv,,0.048296439195350184,0.0673151471016695
charge,2008-04-30 13:56:29,24,B0005,171,172,00172.csv,,,
impedance,2008-04-30 16:48:25,24,B0005,172,173,00173.csv,,0.048969605147940264,0.07178168505217358
discharge,2008-04-30 17:20:16,24,B0005,173,174,00174.csv,1.7364225056478186,,
impedance,2008-04-30 18:16:07,24,B0005,174,175,00175.csv,,0.04814709226602492,0.0684158918231915
charge,2008-04-30 18:47:57,24,B0005,175,176,00176.csv,,,
impedance,2008-04-30 21:43:03,24,B0005,176,177,00177.csv,,0.05022937602514056,0.0718319241428618
discharge,2008-04-30 22:14:54,24,B0005,177,178,00178.csv,1.7263217239235826,,
impedance,2008-04-30 23:10:36,24,B0005,178,179,00179.csv,,0.04845430020206581,0.06777935051052719
charge,2008-04-30 23:42:27,24,B0005,179,180,00180.csv,,,
impedance,2008-05-01 02:43:42,24,B0005,180,181,00181.csv,,0.04971526662508074,0.07139027154395669
discharge,2008-05-01 03:15:33,24,B0005,181,182,00182.csv,1.7158065389330133,,
impedance,2008-05-01 04:11:07,24,B0005,182,183,00183.csv,,0.04868025293328389,0.06583444846364324
charge,2008-05-01 04:42:57,24,B0005,183,184,00184.csv,,,
impedance,2008-05-01 07:44:12,24,B0005,184,185,00185.csv,,0.04913216601843565,0.0724518691988788
discharge,2008-05-01 08:16:03,24,B0005,185,186,00186.csv,1.710533351135192,,
impedance,2008-05-01 09:11:27,24,B0005,186,187,00187.csv,,0.049918728983506716,0.06876463309502395
charge,2008-05-01 09:43:18,24,B0005,187,188,00188.csv,,,
impedance,2008-05-01 12:42:34,24,B0005,188,189,00189.csv,,0.04920968322529824,0.07304025099509703
discharge,2008-05-01 13:14:24,24,B0005,189,190,00190.csv,1.706014499648521,,
impedance,2008-05-01 14:09:50,24,B0005,190,191,00191.csv,,0.04943664953959982,0.06892300885560772
charge,2008-05-01 14:41:41,24,B0005,191,192,00192.csv,,,
impedance,2008-05-01 17:39:20,24,B0005,192,193,00193.csv,,0.04950631616559385,0.07251082944035009
discharge,2008-05-01 18:11:10,24,B0005,193,194,00194.csv,1.7003110272642588,,
impedance,2008-05-01 19:06:26,24,B0005,194,195,00195.csv,,0.04940333988784369,0.06864846238725138
charge,2008-05-01 19:38:17,24,B0005,195,196,00196.csv,,,
impedance,2008-05-01 22:38:24,24,B0005,196,197,00197.csv,,0.04865176277959679,0.07201762091170956
discharge,2008-05-01 23:10:15,24,B0005,197,198,00198.csv,1.6945798601797895,,
impedance,2008-05-02 00:05:31,24,B0005,198,199,00199.csv,,0.04915501980244644,0.06913086863703587
charge,2008-05-02 00:37:22,24,B0005,199,200,00200.csv,,,
impedance,2008-05-02 03:21:43,24,B0005,200,201,00201.csv,,0.04916575568371288,0.07316993618002728
discharge,2008-05-02 03:53:34,24,B0005,201,202,00202.csv,1.6849029086609286,,
impedance,2008-05-02 04:48:33,24,B0005,202,203,00203.csv,,0.04870161283727027,0.06859455507457586
charge,2008-05-02 05:20:24,24,B0005,203,204,00204.csv,,,
impedance,2008-05-02 08:12:49,24,B0005,204,205,00205.csv,,0.04923427342088277,0.07277120733743579
discharge,2008-05-02 08:44:40,24,B0005,205,206,00206.csv,1.6744741591159717,,
impedance,2008-05-02 09:39:40,24,B0005,206,207,00207.csv,,0.04885677345766941,0.06871570767989431
charge,2008-05-02 10:11:31,24,B0005,207,208,00208.csv,,,
impedance,2008-05-02 13:11:13,24,B0005,208,209,00209.csv,,0.0505475864921389,0.07270866794574943
discharge,2008-05-02 13:43:05,24,B0005,209,210,00210.csv,1.6745692479879102,,
impedance,2008-05-02 14:37:55,24,B0005,210,211,00211.csv,,0.0506497585783765,0.06853536104799454
charge,2008-05-02 15:09:46,24,B0005,211,212,00212.csv,,,
impedance,2008-05-02 18:11:03,24,B0005,212,213,00213.csv,,0.050118814742107526,0.07301041089661342
discharge,2008-05-02 19:07:48,24,B0005,213,214,00214.csv,1.663716375981405,,
charge,2008-05-02 20:28:25,24,B0005,214,215,00215.csv,,,
discharge,2008-05-02 23:24:17,24,B0005,215,216,00216.csv,1.659013868748246,,
impedance,2008-05-03 00:18:59,24,B0005,216,217,00217.csv,,0.04913242687695094,0.0693303248319639
charge,2008-05-03 00:50:52,24,B0005,217,218,00218.csv,,,
impedance,2008-05-03 03:41:16,24,B0005,218,219,00219.csv,,0.049792567319026114,0.07343650361620202
discharge,2008-05-03 04:13:08,24,B0005,219,220,00220.csv,1.6538540573335014,,
impedance,2008-05-03 05:07:41,24,B0005,220,221,00221.csv,,0.049633135916243465,0.06881429671018138
charge,2008-05-03 05:39:33,24,B0005,221,222,00222.csv,,,
impedance,2008-05-03 08:38:27,24,B0005,222,223,00223.csv,,0.049865378066600005,0.0732133898164959
discharge,2008-05-03 09:10:19,24,B0005,223,224,00224.csv,1.642653782130131,,
impedance,2008-05-03 10:04:43,24,B0005,224,225,00225.csv,,0.048921290356402275,0.06883931362761586
charge,2008-05-03 10:36:35,24,B0005,225,226,00226.csv,,,
impedance,2008-05-03 13:32:41,24,B0005,226,227,00227.csv,,0.049811932785538866,0.07459618605206403
discharge,2008-05-03 14:04:34,24,B0005,227,228,00228.csv,1.6378578430223698,,
impedance,2008-05-03 14:58:49,24,B0005,228,229,00229.csv,,0.04975125749803476,0.06863892419996058
charge,2008-05-03 15:30:41,24,B0005,229,230,00230.csv,,,
impedance,2008-05-03 18:26:20,24,B0005,230,231,00231.csv,,0.04850673488997184,0.07458309776342148
discharge,2008-05-03 18:58:13,24,B0005,231,232,00232.csv,1.6327350407099108,,
impedance,2008-05-03 19:52:28,24,B0005,232,233,00233.csv,,0.04915918196298162,0.06906734479973246
charge,2008-05-03 20:24:21,24,B0005,233,234,00234.csv,,,
impedance,2008-05-03 23:10:37,24,B0005,234,235,00235.csv,,0.050023074203339506,0.0736638387977965
discharge,2008-05-03 23:42:30,24,B0005,235,236,00236.csv,1.6277528915533617,,
impedance,2008-05-04 00:36:36,24,B0005,236,237,00237.csv,,0.04970808709656559,0.06830006146095657
charge,2008-05-04 01:08:29,24,B0005,237,238,00238.csv,,,
impedance,2008-05-04 04:09:47,24,B0005,238,239,00239.csv,,0.05020469043786587,0.07371885821597624
discharge,2008-05-04 04:41:40,24,B0005,239,240,00240.csv,1.622125485521159,,
impedance,2008-05-04 05:35:36,24,B0005,240,241,00241.csv,,0.048950660803835325,0.06963267386152323
charge,2008-05-04 06:07:29,24,B0005,241,242,00242.csv,,,
impedance,2008-05-04 09:08:18,24,B0005,242,243,00243.csv,,0.04975857340773159,0.07465617760875586
discharge,2008-05-04 09:40:11,24,B0005,243,244,00244.csv,1.6113256603765849,,
impedance,2008-05-04 10:34:08,24,B0005,244,245,00245.csv,,0.049808396255372756,0.06902298762939403
charge,2008-05-04 11:06:02,24,B0005,245,246,00246.csv,,,
impedance,2008-05-04 14:06:20,24,B0005,246,247,00247.csv,,0.04968675503783295,0.07355425821939737
discharge,2008-05-04 14:38:13,24,B0005,247,248,00248.csv,1.6065631397488385,,
impedance,2008-05-04 15:32:01,24,B0005,248,249,00249.csv,,0.05059411389974348,0.06858328460478416
charge,2008-05-04 16:03:55,24,B0005,249,250,00250.csv,,,
impedance,2008-05-04 19:05:14,24,B0005,250,251,00251.csv,,0.04995005707049774,0.0746229428074614
discharge,2008-05-04 19:37:07,24,B0005,251,252,00252.csv,1.6015142233917594,,
impedance,2008-05-04 20:30:47,24,B0005,252,253,00253.csv,,0.04984421041201089,0.07014070107890119
charge,2008-05-04 21:02:41,24,B0005,253,254,00254.csv,,,
impedance,2008-05-05 00:04:00,24,B0005,254,255,00255.csv,,0.050282564251258356,0.07360391142336822
discharge,2008-05-05 00:35:53,24,B0005,255,256,00256.csv,1.590369231400328,,
impedance,2008-05-05 01:29:24,24,B0005,256,257,00257.csv,,0.05006270229203594,0.06979118038789997
charge,2008-05-05 02:01:17,24,B0005,257,258,00258.csv,,,
impedance,2008-05-05 04:56:20,24,B0005,258,259,00259.csv,,0.04992007781904663,0.074642062777058
discharge,2008-05-05 05:28:13,24,B0005,259,260,00260.csv,1.5857889968242211,,
impedance,2008-05-05 06:21:44,24,B0005,260,261,00261.csv,,0.04921445916482306,0.06990836301107425
charge,2008-05-05 06:53:38,24,B0005,261,262,00262.csv,,,
impedance,2008-05-05 09:54:58,24,B0005,262,263,00263.csv,,0.05007996435013632,0.07547710929281527
discharge,2008-05-05 11:41:31,24,B0005,263,264,00264.csv,1.5849430707374117,,
charge,2008-05-05 17:40:16,24,B0005,264,265,00265.csv,,,
discharge,2008-05-05 20:40:08,24,B0005,265,266,00266.csv,1.5955263892495937,,
impedance,2008-05-05 21:33:38,24,B0005,266,267,00267.csv,,0.054692185026359336,0.07464599360022733
charge,2008-05-05 22:05:32,24,B0005,267,268,00268.csv,,,
impedance,2008-05-06 01:06:52,24,B0005,268,269,00269.csv,,0.05487320211540928,0.07934403644117197
discharge,2008-05-06 01:38:46,24,B0005,269,270,00270.csv,1.5747301747801037,,
impedance,2008-05-06 02:31:59,24,B0005,270,271,00271.csv,,0.05415675281078651,0.07505843667743599
charge,2008-05-06 03:03:53,24,B0005,271,272,00272.csv,,,
impedance,2008-05-06 06:05:11,24,B0005,272,273,00273.csv,,0.055240499862766274,0.08002359358228964
discharge,2008-05-06 06:37:06,24,B0005,273,274,00274.csv,1.5649019950937946,,
impedance,2008-05-06 07:30:10,24,B0005,274,275,00275.csv,,0.054542809780562286,0.07592379199991395
charge,2008-05-06 08:02:05,24,B0005,275,276,00276.csv,,,
impedance,2008-05-06 10:53:26,24,B0005,276,277,00277.csv,,0.055080368328742545,0.08045008161921993
discharge,2008-05-06 11:25:21,24,B0005,277,278,00278.csv,1.5597659473370362,,
impedance,2008-05-06 12:18:26,24,B0005,278,279,00279.csv,,0.053398671864258646,0.07562889610038578
charge,2008-05-06 12:50:20,24,B0005,279,280,00280.csv,,,
impedance,2008-05-06 15:51:41,24,B0005,280,281,00281.csv,,0.05484578494342528,0.08099527914390654
discharge,2008-05-06 16:23:36,24,B0005,281,282,00282.csv,1.5594815668184234,,
impedance,2008-05-06 17:16:40,24,B0005,282,283,00283.csv,,0.055453259476974714,0.0748392292244765
charge,2008-05-06 17:48:34,24,B0005,283,284,00284.csv,,,
impedance,2008-05-06 20:49:54,24,B0005,284,285,00285.csv,,0.05808949268604193,0.07900611376190819
discharge,2008-05-06 21:21:49,24,B0005,285,286,00286.csv,1.55468935359061,,
impedance,2008-05-06 22:14:45,24,B0005,286,287,00287.csv,,0.05703849864055661,0.07445419405660497
charge,2008-05-06 22:46:40,24,B0005,287,288,00288.csv,,,
impedance,2008-05-07 01:45:30,24,B0005,288,289,00289.csv,,0.05639999430512618,0.08181491967012575
discharge,2008-05-07 02:17:25,24,B0005,289,290,00290.csv,1.5488741079890418,,
impedance,2008-05-07 03:10:20,24,B0005,290,291,00291.csv,,0.056951772502699796,0.07706935596260868
charge,2008-05-07 03:42:15,24,B0005,291,292,00292.csv,,,
impedance,2008-05-07 06:32:06,24,B0005,292,293,00293.csv,,0.057159147914507935,0.08086696623694065
discharge,2008-05-07 07:04:02,24,B0005,293,294,00294.csv,1.538236598942558,,
impedance,2008-05-07 07:56:39,24,B0005,294,295,00295.csv,,0.05595864562729926,0.07609569637070202
charge,2008-05-07 08:28:34,24,B0005,295,296,00296.csv,,,
impedance,2008-05-07 11:29:54,24,B0005,296,297,00297.csv,,0.056998793862942924,0.08250100764416027
discharge,2008-05-07 12:01:49,24,B0005,297,298,00298.csv,1.527914258251028,,
impedance,2008-05-07 12:54:18,24,B0005,298,299,00299.csv,,0.05699010907560385,0.07648289029638874
charge,2008-05-07 13:26:13,24,B0005,299,300,00300.csv,,,
impedance,2008-05-07 16:27:34,24,B0005,300,301,00301.csv,,0.05791594677751306,0.08175057083151278
discharge,2008-05-07 16:59:29,24,B0005,301,302,00302.csv,1.5285252629756445,,
impedance,2008-05-07 17:51:59,24,B0005,302,303,00303.csv,,0.057000769180639774,0.07741124519885696
charge,2008-05-07 18:23:54,24,B0005,303,304,00304.csv,,,
impedance,2008-05-07 21:24:14,24,B0005,304,305,00305.csv,,0.0585831887959693,0.08269416457353587
discharge,2008-05-07 21:56:09,24,B0005,305,306,00306.csv,1.522647325284378,,
impedance,2008-05-07 22:48:38,24,B0005,306,307,00307.csv,,0.05728256542976495,0.07692027721215688
charge,2008-05-07 23:20:34,24,B0005,307,308,00308.csv,,,
impedance,2008-05-08 02:21:54,24,B0005,308,309,00309.csv,,0.05684411239635824,0.082272625759776
discharge,2008-05-08 02:53:49,24,B0005,309,310,00310.csv,1.5174859938489869,,
impedance,2008-05-08 03:46:09,24,B0005,310,311,00311.csv,,0.0589529203196688,0.07735170203997428
